time,open,high,low,close,Shapes,Shapes
1711125000,1.08105,1.08111,1.08078,1.08086,0,0
1711125900,1.08086,1.08088,1.08058,1.08059,0,0
1711126800,1.08059,1.08107,1.08053,1.08059,1,1
1711127700,1.08059,1.08088,1.08056,1.08075,0,0
1711128600,1.08075,1.08076,1.0805,1.08068,0,0
1711129500,1.08068,1.08072,1.08049,1.08061,0,0
1711130400,1.08061,1.08074,1.08047,1.08072,0,1
1711131300,1.08072,1.08078,1.08057,1.08071,1,0
1711132200,1.08071,1.08071,1.0805,1.08054,0,0
1711133100,1.08054,1.0807,1.08041,1.08042,0,0
1711134000,1.08042,1.08043,1.08027,1.08028,0,0
1711134900,1.08028,1.08028,1.08018,1.08026,0,1
1711135800,1.08026,1.08048,1.08023,1.08048,0,0
1711136700,1.08048,1.08068,1.08041,1.08058,0,0
1711137600,1.08058,1.08084,1.0805,1.08083,0,0
1711138500,1.08083,1.08093,1.08082,1.08088,0,0
1711139400,1.08088,1.08098,1.08082,1.08086,0,0
1711140300,1.08086,1.08099,1.08065,1.08077,1,1
1711314000,1.08077,1.08092,1.08077,1.0809,0,0
1711314900,1.0809,1.08094,1.08087,1.08092,0,0
1711315800,1.08092,1.08104,1.0809,1.08102,0,0
1711316700,1.08102,1.08108,1.08084,1.08088,1,0
1711317600,1.08088,1.08088,1.08052,1.08079,0,1
1711318500,1.08079,1.08082,1.08068,1.0807,0,0
1711319400,1.0807,1.08078,1.0807,1.0807,0,0
1711320300,1.0807,1.08087,1.08064,1.08087,0,1
1711321200,1.08087,1.081,1.0807,1.08098,1,0
1711322100,1.08098,1.08099,1.08082,1.08083,0,0
1711323000,1.08083,1.08092,1.08074,1.08078,0,0
1711323900,1.08078,1.0809,1.08067,1.08074,0,1
1711324800,1.08074,1.08099,1.0807,1.08084,1,0
1711325700,1.08084,1.08084,1.08029,1.0803,0,0
1711326600,1.0803,1.08044,1.08027,1.08036,0,0
1711327500,1.08036,1.08043,1.08026,1.08035,0,0
1711328400,1.08035,1.08042,1.08021,1.08026,0,1
1711329300,1.08026,1.08149,1.08026,1.08135,0,0
1711330200,1.08135,1.082,1.08115,1.08171,1,0
1711331100,1.08171,1.08186,1.08156,1.0817,0,0
1711332000,1.0817,1.08194,1.08158,1.08188,1,0
1711332900,1.08188,1.08188,1.08158,1.08174,0,0
1711333800,1.08174,1.08215,1.08172,1.08209,0,0
1711334700,1.08209,1.08223,1.08203,1.08218,1,0
1711335600,1.08218,1.08218,1.08183,1.08193,0,0
1711336500,1.08193,1.08203,1.08163,1.08163,0,0
1711337400,1.08163,1.0817,1.08123,1.0813,0,0
1711338300,1.0813,1.08148,1.08117,1.08136,0,1
1711339200,1.08136,1.08142,1.0812,1.08124,0,0
1711340100,1.08124,1.08127,1.08107,1.08122,0,1
1711341000,1.08122,1.0814,1.08116,1.08132,0,0
1711341900,1.08132,1.08142,1.08121,1.08133,0,0
1711342800,1.08133,1.08149,1.08124,1.08149,0,0
1711343700,1.08149,1.08158,1.08141,1.0815,0,0
1711344600,1.0815,1.08174,1.08148,1.08172,0,0
1711345500,1.08172,1.08224,1.08149,1.08223,1,0
1711346400,1.08223,1.08223,1.08176,1.08193,0,0
1711347300,1.08193,1.08196,1.08172,1.08193,0,0
1711348200,1.08193,1.08193,1.0817,1.0818,0,0
1711349100,1.0818,1.08186,1.08166,1.08176,0,0
1711350000,1.08176,1.08206,1.08149,1.08206,0,1
1711350900,1.08206,1.08206,1.0818,1.08186,0,0
1711351800,1.08186,1.0823,1.08164,1.08222,0,0
1711352700,1.08222,1.0823,1.08138,1.08139,0,0
1711353600,1.08139,1.08212,1.08118,1.0821,0,1
1711354500,1.0821,1.08238,1.08184,1.08194,1,0
1711355400,1.08194,1.08204,1.08072,1.08072,0,0
1711356300,1.08072,1.0815,1.08072,1.0814,0,0
1711357200,1.0814,1.0816,1.08116,1.0815,0,0
1711358100,1.0815,1.08192,1.0814,1.08174,0,0
1711359000,1.08174,1.08202,1.0815,1.08197,0,0
1711359900,1.08197,1.08216,1.08169,1.08177,1,0
1711360800,1.08177,1.08203,1.08166,1.0819,0,1
